Game Number,Number of Moves,Score,Largest Tile,Sum of Tiles,Losing Configuration,seconds
0,305,4568,512,696,"1,4,2,1,5,9,4,3,2,6,3,2,1,4,2,1",1.335854
1,193,2288,256,414,"1,5,2,8,2,1,3,2,4,6,2,1,1,2,1,3",1.066478
2,294,4376,512,650,"2,3,1,4,1,9,5,2,2,5,3,1,1,4,1,2",1.283255
3,342,4772,512,722,"2,6,3,1,5,9,4,3,1,5,3,2,4,3,2,1",1.424463
4,194,2328,256,434,"1,4,2,1,4,6,1,2,1,3,8,4,2,5,2,1",0.950976
5,279,4248,512,622,"2,5,2,1,1,9,4,2,3,4,3,1,1,2,1,2",1.208104
6,283,4312,512,638,"1,2,5,2,5,1,3,1,3,4,1,2,2,9,2,1",1.288509
7,221,2556,256,486,"2,5,3,1,1,8,4,2,4,5,3,5,2,6,1,2",1.081940
8,316,4600,512,694,"4,2,6,3,3,9,5,2,2,3,1,3,1,4,2,1",1.268547
9,210,2448,256,462,"2,5,2,1,3,2,6,3,2,5,8,4,1,4,1,3",1.025763
10,286,4308,512,630,"2,1,3,1,1,2,5,3,2,5,9,2,1,3,2,1",1.223197
11,290,4300,512,630,"1,4,1,3,3,9,4,2,2,5,3,1,1,3,1,2",1.355844
12,331,4956,512,738,"1,3,5,1,2,7,9,3,1,4,3,2,2,1,2,1",1.341401
13,327,4680,512,714,"4,9,4,1,3,4,5,3,1,6,4,2,2,3,2,1",1.346083
14,342,4896,512,750,"2,6,9,4,6,3,2,1,2,5,4,3,1,3,2,1",1.509593
15,334,4736,512,718,"5,6,2,1,1,9,4,3,2,5,3,2,4,3,2,1",1.409367
16,359,5092,512,800,"4,9,6,4,3,6,5,2,2,5,2,1,1,2,5,2",1.432773
17,204,2404,256,448,"2,3,2,1,1,8,6,2,5,4,5,1,3,1,2,3",1.080482
18,338,4880,512,750,"4,6,2,1,2,9,6,3,5,4,3,2,1,3,2,1",1.312424
19,344,4856,512,748,"1,9,5,4,5,6,4,2,4,5,2,1,1,3,1,2",1.392792
20,220,2740,256,496,"2,1,4,5,1,3,2,8,3,4,7,2,1,3,2,1",1.050990
21,185,2124,256,396,"4,3,2,1,1,8,4,3,3,4,5,1,1,2,4,2",1.000904
22,306,4508,512,670,"1,6,3,1,2,9,4,3,1,4,3,2,4,1,2,1",1.349366
23,279,4188,512,604,"2,4,3,2,1,3,9,1,3,2,4,2,1,3,2,1",1.240566
24,289,4328,512,638,"5,3,2,1,3,9,1,3,1,5,3,2,3,1,2,1",1.302032
25,158,1952,256,356,"2,4,2,1,1,3,5,2,2,8,2,1,1,2,3,2",0.945593
26,281,4240,512,616,"1,2,3,2,3,9,5,1,4,2,1,2,2,3,2,1",1.215684
27,325,4696,512,714,"2,4,9,5,3,5,2,1,2,6,3,2,1,4,2,1",1.313235
28,285,4292,512,636,"2,4,3,1,1,2,9,4,2,5,3,2,1,4,2,1",1.221943
29,328,4668,512,706,"1,3,6,4,3,9,4,3,2,5,3,2,1,4,2,1",1.381955
30,327,4784,512,730,"4,9,6,3,2,1,3,2,6,4,2,1,1,2,4,2",1.328434
31,289,4272,512,632,"1,4,3,1,3,9,4,3,1,4,3,2,4,3,2,1",1.254665
32,179,2076,256,382,"1,4,2,1,2,8,5,2,4,2,4,3,2,3,2,1",1.043481
33,303,4440,512,674,"3,4,2,1,1,9,5,3,5,4,3,2,4,3,2,1",1.329463
34,303,4484,512,668,"1,3,4,1,6,2,1,3,3,9,3,2,4,3,2,1",1.281863
35,336,4784,512,742,"1,3,6,4,4,9,4,3,1,5,3,2,5,4,2,1",1.335300
36,301,4412,512,662,"3,5,3,1,2,4,9,3,1,5,3,2,2,4,2,1",1.303494
37,301,4468,512,676,"5,4,2,1,2,9,5,2,1,5,3,1,2,1,2,4",1.307121
38,322,4676,512,714,"5,3,2,1,3,9,4,3,6,5,3,2,1,3,2,1",1.222201
39,311,4584,512,700,"2,6,4,3,3,9,3,2,1,2,5,3,4,3,2,1",1.407532
40,349,4988,512,774,"1,3,6,5,4,9,5,2,2,6,2,1,4,3,1,2",1.336011
41,280,4196,512,608,"3,1,3,1,2,3,2,3,4,9,3,2,1,4,2,1",1.344532
42,284,4284,512,630,"4,1,4,2,1,4,2,1,9,2,5,2,1,3,2,1",1.313958
43,326,4772,512,720,"2,6,2,1,4,9,4,2,2,6,2,1,1,4,1,2",1.290758
44,272,4212,512,624,"3,1,9,3,5,3,2,1,1,2,3,2,4,3,2,1",1.230628
45,168,1988,256,370,"2,3,4,2,1,4,3,4,2,8,4,2,1,3,2,1",0.975448
46,263,4116,512,592,"2,1,4,1,1,3,9,2,3,1,2,1,2,4,1,2",1.208198
47,277,4244,512,626,"4,1,3,2,1,9,4,3,2,5,2,1,1,3,1,2",1.159644
48,272,4156,512,598,"1,4,1,2,3,1,3,1,2,9,2,3,1,2,4,2",1.224767
49,316,4636,512,714,"3,4,1,4,4,9,6,3,2,4,3,2,1,2,5,1",1.320601
50,300,4380,512,660,"2,3,1,4,4,9,4,3,2,5,3,2,4,3,2,1",1.344557
51,323,4676,512,708,"5,1,4,3,3,6,3,1,2,5,9,2,3,1,2,1",1.295810
52,162,1992,256,368,"2,3,1,3,1,2,5,1,8,4,1,4,1,3,2,1",0.955460
53,310,4640,512,716,"5,1,4,1,3,9,6,3,2,5,3,2,1,4,2,1",1.143823
54,301,4412,512,664,"2,5,2,1,3,2,5,3,9,4,3,2,4,3,2,1",1.400016
55,292,4328,512,646,"3,9,4,1,2,5,3,2,1,2,4,3,4,3,2,1",1.317515
56,316,4584,512,684,"5,1,3,1,3,6,9,3,1,4,3,2,2,3,2,1",1.342870
57,336,4764,512,730,"5,1,5,4,2,9,4,3,6,4,3,2,1,3,2,1",1.377513
58,310,4572,512,690,"4,2,5,3,3,9,4,2,6,3,2,1,1,2,1,2",1.307579
59,346,4948,512,768,"4,9,6,4,3,6,4,1,2,5,1,2,1,4,3,1",1.328207
60,342,4812,512,748,"3,9,5,4,4,6,4,3,3,5,3,2,1,4,2,1",1.274351
61,271,4152,512,600,"2,4,3,2,1,2,9,1,2,4,2,3,1,3,1,2",1.267124
62,298,4352,512,644,"5,4,2,1,3,9,4,3,2,4,3,1,1,3,1,2",1.289862
63,292,4448,512,666,"4,6,4,1,3,1,9,2,2,4,2,1,1,3,1,2",1.247810
64,330,4740,512,712,"1,2,6,3,5,9,5,2,2,5,2,1,1,2,1,2",1.356928
65,210,2664,256,484,"1,2,4,1,2,7,3,2,4,8,4,1,2,1,2,4",1.017421
66,333,4736,512,722,"1,2,5,4,5,6,9,3,3,4,3,2,1,3,2,1",1.410057
67,364,5196,512,796,"2,4,7,5,3,5,9,4,2,4,3,2,3,1,2,1",1.329449
68,285,4272,512,622,"3,1,5,1,2,9,4,2,1,4,2,1,3,2,1,2",1.251160
69,279,4200,512,606,"1,4,3,2,4,1,2,1,2,9,3,2,1,4,2,1",1.232512
70,311,4596,512,700,"1,6,3,1,4,9,4,3,2,5,3,2,1,4,2,1",1.299368
