Game Number,Number of Moves,Score,Largest Tile,Sum of Tiles,Losing Configuration,seconds
0,1654,32208,2048,3604,"1,11,2,1,2,6,4,3,10,3,7,1,8,1,5,2",1.656949
1,958,16156,1024,2098,"3,8,3,1,4,5,4,10,1,9,7,2,4,6,3,1",1.132679
2,1880,36192,2048,4118,"3,11,4,1,1,7,6,3,9,8,3,5,1,2,10,2",1.694204
3,1417,27300,2048,3134,"3,6,3,1,4,11,8,3,1,9,6,2,7,3,2,1",1.472206
4,913,15740,1024,2016,"2,4,1,2,7,2,9,1,3,5,10,2,2,3,8,3",1.098369
5,1876,36192,2048,4128,"2,10,7,2,3,4,8,3,2,11,5,6,1,9,4,1",1.721694
6,1682,32440,2048,3658,"3,5,3,2,2,6,7,10,8,5,11,5,2,3,2,1",1.665778
7,1881,36340,2048,4160,"3,2,4,2,4,9,10,7,1,6,8,6,2,11,3,1",1.772819
8,958,16276,1024,2120,"1,4,3,2,6,7,8,1,4,9,6,4,1,2,10,1",1.100613
9,928,15824,1024,2030,"1,5,3,1,2,9,10,3,1,8,7,4,2,3,4,3",1.048631
10,1737,34332,2048,3860,"2,1,2,1,1,7,5,10,3,6,9,3,11,4,2,1",1.643632
11,1869,36232,2048,4156,"2,1,7,4,1,4,9,6,2,5,10,5,3,11,8,3",1.761148
12,1904,36476,2048,4172,"2,4,2,1,6,8,6,5,1,7,11,10,2,3,9,2",1.774722
13,1641,32140,2048,3596,"2,6,2,1,3,10,7,3,2,5,11,1,1,3,1,8",1.651629
14,1662,32284,2048,3634,"3,4,3,1,7,5,10,6,4,8,11,4,3,1,2,1",1.576730
15,1838,35892,2048,4082,"2,5,3,1,10,8,9,4,3,7,11,2,1,2,5,1",1.696709
16,955,16268,1024,2126,"1,2,1,2,3,4,7,3,6,10,8,4,4,9,6,1",1.144216
17,999,16652,1024,2182,"1,3,6,1,6,7,10,3,8,5,9,6,1,2,3,2",1.121275
18,1681,32600,2048,3710,"2,1,4,2,5,6,5,3,3,10,7,11,2,6,8,4",1.614550
19,944,16136,1024,2104,"2,9,2,1,8,4,7,2,2,5,6,5,1,10,2,4",1.113897
20,1417,27276,2048,3154,"2,3,5,3,8,4,7,4,2,6,11,9,1,3,5,4",1.519970
21,1426,27224,2048,3112,"1,2,3,7,4,5,2,1,6,11,9,8,3,2,4,3",1.444178
22,1664,32320,2048,3640,"2,3,5,3,1,8,10,7,11,6,4,1,2,3,5,2",1.592559
23,1805,35332,2048,3982,"1,2,3,1,2,3,8,10,4,9,11,3,1,6,3,4",1.800156
24,1645,32224,2048,3628,"2,1,3,2,5,11,5,3,2,10,8,2,7,6,3,1",1.598837
25,1671,32636,2048,3694,"1,2,7,4,2,3,11,1,4,7,5,8,3,10,4,1",1.589598
26,1674,32552,2048,3696,"2,11,5,1,10,7,6,3,6,4,8,5,2,1,2,3",1.718282
27,963,16288,1024,2138,"1,2,5,1,6,8,7,5,4,5,10,9,3,4,3,1",1.106189
28,1683,32540,2048,3676,"6,1,2,1,1,3,5,4,4,8,10,7,6,11,3,1",1.626725
29,946,16128,1024,2094,"2,3,2,1,10,8,5,4,2,9,7,2,6,1,5,1",1.091180
30,1509,28232,2048,3274,"1,6,3,7,2,11,8,3,3,7,6,9,5,1,3,1",1.500343
31,1618,31636,2048,3522,"2,3,4,1,5,10,5,3,4,11,6,2,2,1,8,1",1.618572
32,1413,27148,2048,3094,"1,2,11,2,9,5,3,1,2,4,6,7,1,2,8,3",1.466423
33,1791,35004,2048,3984,"1,3,7,2,10,5,11,3,2,9,7,5,1,4,5,2",1.697267
34,964,16228,1024,2116,"2,3,5,1,7,10,6,8,3,5,9,4,1,2,4,3",1.160976
35,867,14660,1024,1876,"2,4,2,1,1,5,7,9,6,10,6,1,1,3,2,3",0.999019
36,1874,36208,2048,4124,"1,8,2,1,11,7,6,3,5,9,10,2,1,2,5,1",1.762366
37,1427,27400,2048,3154,"1,2,6,3,3,8,11,1,6,9,4,2,2,7,5,1",1.440715
38,959,16208,1024,2118,"2,6,4,2,3,8,10,3,5,9,7,2,3,5,4,1",1.083330
39,1765,34528,2048,3900,"4,2,11,1,6,5,9,2,3,10,7,4,2,5,2,1",1.609170
40,1662,32280,2048,3630,"2,4,1,2,4,6,7,8,3,10,11,4,1,5,3,1",1.595046
41,1571,31368,2048,3488,"1,2,3,1,2,4,5,6,3,8,3,10,1,3,11,1",1.551963
42,1416,27300,2048,3156,"1,2,5,2,11,7,9,3,5,6,5,4,3,8,3,1",1.459488
43,960,16184,1024,2092,"1,5,2,4,9,8,6,2,3,7,10,1,1,2,1,5",1.138160
44,954,16164,1024,2100,"2,3,10,2,3,5,7,1,1,2,9,5,8,6,4,2",1.119181
45,498,7172,512,1084,"1,3,9,2,2,7,6,4,3,2,8,5,2,5,3,1",0.738671
46,1407,27128,2048,3100,"2,9,7,3,4,8,3,2,6,11,5,1,1,2,3,2",1.523352
47,1396,27080,2048,3094,"2,3,6,1,11,4,9,2,2,7,3,1,1,5,8,2",1.456378
48,331,4976,512,752,"2,1,2,3,4,3,7,2,9,5,4,1,1,3,1,2",0.565139
49,1409,27220,2048,3134,"1,5,1,4,3,8,6,7,5,9,11,2,3,4,2,1",1.477882
50,977,16420,1024,2154,"2,9,4,2,3,7,6,5,4,6,10,4,2,8,2,1",1.168372
