Game Number,Number of Moves,Score,Largest Tile,Sum of Tiles,Losing Configuration,seconds
0,1715,33832,2048,3788,"4,3,2,1,2,11,5,4,5,6,10,2,2,9,4,1",0.811187
1,965,16344,1024,2140,"9,1,2,3,3,6,7,6,1,10,5,4,2,3,8,3",0.506061
2,1631,32144,2048,3626,"7,3,2,1,1,4,8,3,3,6,11,5,10,1,3,4",0.740067
3,1864,35860,2048,4074,"1,3,6,3,11,8,10,5,3,9,6,2,1,5,3,1",0.826790
4,1348,26456,2048,3004,"1,8,1,4,3,4,5,1,2,9,6,11,1,2,5,2",0.707329
5,1761,34468,2048,3888,"2,5,11,4,1,7,9,6,4,3,10,3,2,4,2,1",0.778218
6,957,16200,1024,2118,"1,3,5,2,2,9,7,4,4,10,6,8,2,3,5,3",0.514672
7,239,2988,256,538,"2,6,2,1,1,7,8,4,3,5,2,1,1,2,1,3",0.216788
8,955,16208,1024,2126,"2,3,4,2,9,10,5,6,1,8,7,4,2,4,5,3",0.502307
9,494,7132,512,1084,"4,6,3,1,1,5,8,9,2,7,4,3,3,4,3,2",0.341795
10,1400,26968,2048,3062,"2,3,5,2,3,11,8,1,2,7,5,2,1,4,1,9",0.662077
11,1422,27272,2048,3138,"2,4,2,1,7,5,8,2,11,6,9,5,3,4,3,2",0.723014
12,716,12136,1024,1590,"1,2,5,1,10,8,3,2,4,5,2,3,7,2,1,6",0.469404
13,710,12052,1024,1570,"3,5,3,1,6,7,8,2,2,4,3,10,1,3,2,1",0.459775
14,468,6836,512,1008,"2,3,5,3,1,7,9,2,2,8,5,1,1,3,1,2",0.333042
15,958,16148,1024,2092,"2,3,4,2,4,10,9,5,2,7,8,4,1,2,6,1",0.496570
16,1883,36240,2048,4142,"2,7,3,2,1,5,9,4,2,6,8,10,4,11,4,3",0.837102
17,931,15912,1024,2058,"2,5,2,1,4,10,7,4,1,9,8,5,2,1,4,3",0.522633
18,939,16120,1024,2106,"2,1,2,1,3,7,9,4,4,5,8,6,2,10,5,1",0.531173
19,1641,32188,2048,3622,"1,2,4,2,4,7,11,10,2,8,6,4,1,2,5,1",0.757120
20,1431,27508,2048,3200,"1,6,4,3,5,11,7,6,8,9,5,2,3,4,3,1",0.701242
21,1070,21424,2048,2342,"1,2,4,2,3,11,3,1,2,3,5,2,1,6,7,3",0.569990
22,952,16156,1024,2096,"3,5,2,1,10,7,9,4,3,5,6,1,1,8,1,2",0.546000
23,489,7152,512,1090,"4,2,1,2,9,5,6,3,3,8,7,5,1,4,2,1",0.362105
24,1406,27084,2048,3110,"2,5,3,2,5,11,8,5,4,7,9,2,3,4,3,1",0.707427
25,1091,21596,2048,2380,"2,5,3,1,3,7,4,3,4,6,11,1,1,3,1,5",0.589593
26,1403,26956,2048,3064,"3,9,3,2,7,4,5,8,4,11,4,3,2,1,2,1",0.664918
27,1378,26756,2048,3060,"2,3,11,3,4,6,8,5,5,9,1,2,2,1,2,6",0.729590
28,1648,32276,2048,3652,"4,5,3,1,11,7,10,2,3,8,4,6,5,3,2,1",0.769168
29,1773,34548,2048,3892,"3,4,2,1,1,5,10,6,11,9,5,3,1,3,7,1",0.833388
30,1524,30444,2048,3380,"2,4,2,1,4,10,6,7,1,11,4,3,2,5,3,2",0.740894
31,1196,23372,2048,2642,"1,2,1,2,3,7,6,4,4,6,8,11,3,2,1,4",0.655461
32,947,16180,1024,2092,"1,2,6,1,2,3,10,8,9,6,7,1,3,2,1,3",0.526843
33,717,12136,1024,1584,"1,2,4,3,5,8,5,1,2,6,10,2,1,7,2,1",0.467046
34,1250,23980,2048,2742,"2,3,11,1,4,6,7,4,3,7,8,2,2,3,5,4",0.623464
35,1418,27304,2048,3134,"1,6,3,1,3,9,4,2,7,11,8,1,3,6,3,2",0.704061
36,1887,36300,2048,4152,"3,5,2,1,9,11,10,4,4,6,7,2,2,8,5,1",0.812731
37,1424,27300,2048,3150,"3,9,3,2,4,11,4,6,5,7,5,2,4,2,8,1",0.729511
38,820,14320,1024,1850,"2,3,4,2,4,10,5,3,2,9,7,6,1,3,4,2",0.485281
39,926,15868,1024,2040,"2,1,2,1,4,5,9,2,1,10,7,8,5,1,4,2",0.514626
40,1800,35052,2048,3970,"1,11,3,2,4,7,10,1,7,9,6,2,1,2,3,4",0.789663
41,1450,27576,2048,3192,"2,6,1,2,5,8,4,5,3,7,9,11,2,6,4,1",0.737861
42,1421,27200,2048,3108,"2,4,3,1,7,11,9,2,1,6,4,3,2,5,8,2",0.733254
43,1804,35264,2048,3976,"1,3,8,2,2,9,4,3,5,4,5,11,2,1,10,3",0.819567
44,1605,31540,2048,3510,"1,6,4,3,3,8,5,4,4,10,11,2,1,2,3,1",0.786918
45,1355,26228,2048,2926,"2,4,2,1,1,3,9,3,2,8,11,1,3,4,2,5",0.721933
46,1890,36364,2048,4172,"5,10,5,1,1,9,6,8,3,5,7,4,2,3,11,2",0.824542
47,956,16172,1024,2096,"1,2,5,1,10,6,8,3,5,7,9,2,1,3,4,1",0.517782
48,1181,23224,2048,2618,"2,5,2,1,4,8,11,2,6,4,7,1,2,1,2,5",0.639489
49,937,16096,1024,2098,"3,1,2,1,5,8,9,3,7,6,5,10,2,1,2,4",0.521886
50,1654,32316,2048,3662,"5,2,4,3,3,7,5,4,2,10,11,8,1,6,4,2",0.746456
51,1402,27128,2048,3110,"2,9,3,1,4,7,4,3,3,6,8,5,1,11,2,1",0.698533
52,726,12288,1024,1614,"1,7,2,3,5,6,3,2,8,2,10,1,1,3,6,2",0.495943
53,1633,32120,2048,3598,"2,1,11,1,1,7,4,2,2,8,6,3,5,1,10,1",0.804710
54,933,15904,1024,2050,"2,4,10,1,4,8,5,3,9,5,3,1,2,1,7,2",0.529414
55,954,16124,1024,2092,"2,3,2,1,9,6,10,3,1,5,7,4,3,8,4,3",0.542678
56,927,15740,1024,2040,"2,3,1,6,5,9,5,4,3,10,8,3,2,6,2,1",0.517467
57,1864,35972,2048,4084,"1,3,10,3,11,4,8,4,2,7,9,3,1,5,4,2",0.844497
58,1752,34420,2048,3884,"1,3,2,1,10,5,4,3,4,3,6,11,7,2,9,3",0.841028
59,830,14316,1024,1818,"2,3,1,2,1,6,4,9,2,3,7,5,1,2,10,2",0.509816
60,1413,27160,2048,3096,"1,6,2,1,2,7,9,4,4,8,11,2,1,2,5,1",0.779207
61,960,16140,1024,2084,"1,4,8,2,2,6,7,4,10,3,5,9,2,1,2,3",0.524072
62,989,16516,1024,2166,"1,5,2,5,3,9,7,4,6,10,8,6,1,4,1,2",0.556864
63,1645,32240,2048,3634,"2,11,3,1,5,7,10,4,1,6,5,2,2,8,3,1",0.791865
64,1768,34464,2048,3870,"1,2,4,3,11,3,7,6,1,9,10,2,3,5,3,1",0.809389
65,1437,27316,2048,3130,"1,3,5,3,2,8,7,2,9,3,6,11,2,5,4,2",0.744901
66,1653,32292,2048,3648,"2,8,1,2,10,11,4,5,3,5,7,3,2,4,6,1",0.787538
67,1410,27204,2048,3122,"3,9,1,2,5,7,11,1,3,8,5,4,2,6,2,1",0.731695
68,957,16368,1024,2156,"2,3,2,1,4,6,10,5,7,8,9,1,2,5,6,2",0.500898
69,966,16236,1024,2116,"1,8,3,2,3,6,7,5,5,10,9,4,4,3,2,1",0.543254
70,1427,27288,2048,3130,"2,5,1,4,8,6,5,1,2,7,11,3,4,9,2,1",0.748688
71,1327,25664,2048,2906,"4,3,6,2,3,5,11,1,5,9,5,3,1,7,3,1",0.650033
72,972,16324,1024,2140,"1,4,5,3,10,8,6,5,4,5,9,2,3,7,2,1",0.528124
73,949,16120,1024,2100,"2,4,3,2,7,5,8,9,4,6,4,3,1,3,10,1",0.495679
74,1655,32232,2048,3620,"2,8,4,1,3,4,11,2,6,7,10,5,1,2,3,2",0.772982
75,956,16196,1024,2116,"2,6,5,1,3,5,8,7,2,4,10,4,1,3,9,3",0.523663
76,526,7608,512,1178,"2,3,2,1,4,7,9,6,6,8,6,3,2,3,5,2",0.364594
77,1386,26996,2048,3084,"1,2,3,1,2,7,4,3,6,9,11,4,2,3,8,2",0.719069
78,732,12236,1024,1612,"2,4,2,1,10,7,8,5,2,5,6,4,1,3,4,2",0.447542
79,1427,27296,2048,3140,"3,8,3,9,5,7,6,4,4,11,5,3,2,1,2,1",0.741779
80,513,7320,512,1122,"1,4,5,3,5,9,8,7,3,6,5,3,1,2,4,1",0.355156
81,1888,36300,2048,4148,"2,6,4,1,5,8,5,2,11,7,9,10,2,1,2,4",0.807651
82,1413,27204,2048,3118,"5,3,1,5,9,6,8,3,3,11,7,2,1,3,2,1",0.729210
83,1867,35884,2048,4082,"2,8,4,2,5,6,11,3,3,10,9,2,2,6,5,1",0.833832
84,898,15444,1024,1986,"2,4,1,5,3,8,9,10,2,6,5,3,1,4,1,2",0.513696
85,923,15912,1024,2050,"10,3,2,3,6,4,7,8,1,3,9,2,2,1,3,1",0.509627
86,974,16436,1024,2154,"1,4,2,6,2,10,7,9,8,5,6,5,2,1,3,1",0.531165
87,1292,25428,2048,2874,"1,3,4,3,4,6,7,4,1,11,5,2,3,9,3,1",0.671663
88,890,15404,1024,1976,"2,10,9,2,1,6,8,1,2,5,4,2,4,1,5,1",0.520024
89,1348,26396,2048,2986,"2,4,1,2,1,5,11,3,8,9,6,1,2,3,4,3",0.710212
90,956,16144,1024,2096,"9,2,3,4,4,10,8,3,1,7,5,6,2,4,2,1",0.542531
91,1732,34152,2048,3820,"2,1,7,2,1,4,5,10,2,9,4,3,1,4,11,1",0.780409
92,1832,35552,2048,4022,"1,3,9,3,2,5,10,5,8,6,11,1,3,1,4,2",0.827762
