Game Number,Number of Moves,Score,Largest Tile,Sum of Tiles,Losing Configuration,seconds
0,952,16076,1024,2086,"1,2,4,3,3,9,5,1,10,7,6,2,3,4,8,1",0.469925
1,496,7220,512,1116,"2,3,2,1,4,7,4,3,5,6,8,9,4,5,4,1",0.308351
2,949,16024,1024,2074,"2,3,9,3,7,10,6,2,5,8,4,1,1,2,1,3",0.454289
3,1436,27152,2048,3110,"1,3,9,3,2,8,11,4,4,5,7,2,1,3,6,1",0.617560
4,1407,26964,2048,3084,"3,9,3,2,2,5,7,5,1,11,8,2,2,5,3,1",0.598469
5,1370,26732,2048,3016,"4,1,4,2,3,2,11,8,2,1,9,2,1,7,1,3",0.610942
6,961,16192,1024,2096,"1,2,5,1,3,6,10,9,8,5,7,3,4,1,2,1",0.473716
7,1424,27392,2048,3160,"2,6,3,1,3,9,7,2,4,8,11,6,1,2,3,5",0.593720
