Game Number,Number of Moves,Score,Largest Tile,Sum of Tiles,Losing Configuration,seconds
0,280,4216,512,620,"3,1,4,1,1,3,9,4,3,4,3,2,2,3,2,1",0.510114
1,293,4344,512,648,"2,5,4,3,9,4,2,1,4,3,1,2,1,2,4,1",0.509083
2,169,2060,256,376,"2,1,5,2,1,8,4,1,2,5,1,2,1,3,2,1",0.362591
3,177,2132,256,404,"1,5,1,2,4,2,4,1,2,5,3,2,1,8,2,4",0.364544
4,320,4668,512,724,"4,2,6,4,2,9,4,3,4,5,3,2,1,4,2,1",0.490996
5,302,4432,512,668,"4,1,4,1,5,9,5,3,2,4,3,2,1,3,2,1",0.453108
6,175,2116,256,410,"4,2,5,2,2,5,8,3,3,4,3,2,2,3,2,1",0.361339
7,308,4460,512,674,"2,3,9,4,1,5,4,3,5,4,3,2,1,3,2,1",0.517847
8,265,4128,512,598,"2,1,4,1,1,3,2,9,2,1,3,2,4,3,2,1",0.428913
9,177,2104,256,392,"1,3,2,1,3,8,5,3,2,5,3,2,1,4,2,1",0.362206
10,185,2164,256,404,"1,2,5,4,4,8,2,1,2,5,3,2,1,2,4,1",0.397007
11,305,4428,512,662,"3,5,2,1,2,9,4,3,5,4,3,2,1,3,2,1",0.524486
12,331,4692,512,710,"1,2,6,4,4,9,5,3,2,4,3,2,1,2,4,1",0.569659
13,303,4428,512,658,"1,2,5,1,4,1,9,3,1,5,4,2,2,4,2,1",0.478107
14,193,2312,256,432,"1,4,3,2,6,1,5,4,2,8,3,2,1,3,2,1",0.366784
15,167,2012,256,372,"2,4,3,2,1,8,5,3,2,1,4,2,1,3,2,1",0.341905
16,208,2636,256,472,"2,4,2,1,1,2,7,2,2,3,8,4,1,4,1,2",0.391974
17,184,2212,256,410,"1,4,3,2,3,8,6,1,2,4,2,3,3,2,1,2",0.371212
18,194,2320,256,438,"2,1,5,3,4,6,3,2,3,8,4,1,2,3,1,2",0.406178
19,178,2096,256,396,"3,4,3,1,4,8,5,3,1,2,4,2,4,1,2,1",0.398031
20,174,2056,256,378,"2,1,4,1,1,2,5,8,3,4,3,4,1,2,1,2",0.449369
21,178,2112,256,396,"2,8,3,1,1,3,5,3,2,5,3,2,1,3,4,1",0.385483
22,319,4572,512,704,"4,9,5,3,3,5,4,2,2,4,5,3,1,3,2,1",0.518783
