Game Number,Number of Moves,Score,Largest Tile,Sum of Tiles,Losing Configuration,seconds
40,166,2008,256,372,"2,3,1,2,4,5,8,1,3,2,4,2,1,3,2,1",0.176235
41,192,2192,256,416,"3,5,3,1,4,3,8,3,2,5,3,2,4,3,2,1",0.191211
42,200,2360,256,444,"1,2,6,1,4,8,3,4,3,5,2,3,1,4,1,2",0.194112
43,188,2184,256,414,"1,3,2,1,5,4,8,3,2,5,4,2,4,3,2,1",0.183581
44,291,4356,512,652,"3,1,5,3,2,5,3,2,3,4,9,1,1,3,1,2",0.249825
45,178,2076,256,384,"1,5,2,1,2,8,1,3,4,3,4,2,2,4,3,1",0.192619
46,247,2916,256,522,"3,1,4,2,1,7,8,1,3,5,3,5,1,4,2,1",0.254241
47,187,2164,256,404,"1,3,4,1,3,8,5,3,2,4,3,2,1,5,2,1",0.193498
48,225,2740,256,484,"2,3,2,1,3,2,8,3,1,5,7,1,2,1,4,2",0.206421
49,287,4280,512,622,"1,5,2,1,2,9,4,3,1,2,3,2,4,1,2,1",0.256908
50,155,1884,256,340,"1,4,3,1,3,2,8,2,2,3,1,3,1,2,3,2",0.181554
51,223,2784,256,514,"4,2,4,1,2,3,7,5,8,2,4,1,2,4,1,2",0.203169
52,245,2980,256,534,"6,1,2,4,4,8,7,2,2,3,2,1,1,2,4,2",0.216721
53,206,2384,256,446,"3,2,1,3,4,3,4,2,2,4,8,1,1,2,5,6",0.198534
54,347,4924,512,758,"1,3,6,4,4,9,5,3,3,6,3,2,1,3,2,1",0.245751
55,158,1952,256,352,"2,1,2,1,1,4,8,5,2,1,3,2,1,3,2,1",0.175492
56,195,2320,256,432,"2,4,3,1,3,8,5,3,6,4,2,1,1,2,1,2",0.213052
57,195,2316,256,426,"2,3,1,2,1,5,8,1,3,6,4,2,1,4,2,1",0.200131
58,184,2272,256,426,"3,6,3,1,1,2,8,2,4,1,5,4,1,2,1,2",0.178969
59,165,2016,256,374,"4,1,2,1,1,4,8,4,2,5,2,1,3,2,1,2",0.169727
60,171,2060,256,380,"2,1,3,1,1,2,8,5,3,5,3,2,2,3,2,1",0.182998
61,178,2108,256,392,"3,8,2,1,2,3,5,3,1,5,3,2,4,1,2,1",0.189676
62,290,4332,512,648,"2,4,1,4,1,9,4,2,3,5,3,1,1,2,4,2",0.231159
63,215,2488,256,472,"1,3,4,1,5,8,6,3,3,5,4,2,1,4,2,1",0.195253
64,185,2204,256,420,"3,1,3,1,1,5,4,3,2,8,5,2,5,3,2,1",0.177729
65,165,2000,256,366,"1,2,5,2,2,1,8,1,3,2,3,2,4,1,4,1",0.199170
66,189,2204,256,420,"4,5,1,4,3,4,5,1,2,8,4,2,1,3,2,1",0.189498
67,203,2400,256,448,"1,2,3,1,5,3,8,4,3,5,2,1,1,2,6,2",0.202336
68,160,1964,256,358,"2,3,2,1,1,5,1,4,3,2,8,2,1,3,2,1",0.179424
69,234,2912,256,524,"2,4,3,1,1,3,7,3,3,8,6,2,1,2,3,1",0.204811
70,303,4436,512,668,"5,4,1,4,3,5,9,2,2,1,3,4,1,3,2,1",0.247643
71,216,2484,256,466,"4,2,1,2,2,4,8,4,1,6,5,2,5,3,2,1",0.210959
72,318,4644,512,714,"1,4,9,4,4,6,4,3,1,5,3,2,2,3,2,1",0.250004
73,165,2020,256,380,"1,2,3,2,4,1,8,3,1,5,4,2,2,4,2,1",0.170733
74,187,2184,256,418,"3,4,3,1,1,8,5,3,4,5,3,2,2,4,2,1",0.185788
75,196,2296,256,430,"2,3,4,2,3,4,8,4,6,1,4,2,1,3,2,1",0.207314
76,313,4512,512,688,"3,5,2,1,4,9,4,3,1,4,5,4,4,1,2,1",0.255258
77,184,2212,256,406,"4,3,1,2,3,8,6,1,2,4,1,3,1,3,2,1",0.189779
78,194,2312,256,428,"2,5,2,1,1,6,3,2,4,3,8,4,1,2,1,2",0.189676
79,175,2060,256,380,"2,4,2,1,1,2,5,3,4,8,4,2,1,3,2,1",0.176915
80,297,4380,512,640,"1,5,2,1,9,1,4,2,2,5,2,1,1,4,1,2",0.250661
81,179,2084,256,390,"3,4,3,2,2,8,2,1,1,5,3,4,4,3,2,1",0.188849
82,171,2060,256,376,"3,8,2,1,1,5,1,3,3,1,5,2,1,2,3,1",0.180425
83,290,4300,512,630,"1,3,5,3,2,9,3,1,1,4,1,2,4,3,2,1",0.219983
84,217,2704,256,498,"3,4,3,1,4,8,2,4,2,4,7,3,1,3,2,1",0.180768
85,186,2172,256,410,"2,5,1,2,4,2,5,3,2,8,4,2,1,4,3,1",0.185893
86,295,4384,512,658,"4,9,5,3,3,2,3,2,5,4,2,1,1,2,1,2",0.229369
87,175,2064,256,384,"1,3,2,1,4,8,4,3,2,5,3,2,1,4,2,1",0.177681
88,220,2696,256,486,"2,3,2,1,3,8,4,2,4,7,1,3,3,4,2,1",0.209815
89,176,2156,256,388,"1,2,8,3,3,6,3,1,1,4,1,2,2,1,2,1",0.175815
90,179,2132,256,404,"1,4,2,1,8,5,3,5,3,2,4,3,1,3,2,1",0.184017
91,181,2180,256,396,"2,3,2,1,1,4,8,3,2,6,3,2,1,3,2,1",0.196220
92,196,2312,256,432,"2,5,3,1,3,2,6,3,2,8,3,2,4,3,2,1",0.184183
93,314,4588,512,686,"1,2,6,1,4,9,4,2,3,5,3,1,1,3,1,2",0.238682
94,289,4296,512,630,"5,2,1,2,1,3,9,1,3,4,3,4,1,3,2,1",0.244480
95,178,2088,256,386,"1,4,2,1,4,8,1,3,2,5,4,2,1,4,2,1",0.184067
96,219,2520,256,482,"2,4,3,1,4,6,5,4,5,3,8,2,1,4,2,1",0.200969
97,190,2284,256,426,"2,5,3,2,6,8,2,3,3,1,4,2,1,2,3,1",0.178728
98,221,2512,256,474,"1,5,3,2,4,3,8,3,2,6,4,2,1,4,5,1",0.208804
99,214,2552,256,468,"2,3,2,1,5,2,8,6,2,6,3,1,1,2,1,3",0.197952
