Game Number,Number of Moves,Score,Largest Tile,Sum of Tiles,Losing Configuration,seconds
0,172,2088,256,404,"3,4,1,4,4,1,8,3,1,5,4,2,2,4,2,1",0.180347
1,194,2228,256,428,"3,4,3,2,2,8,5,3,4,5,4,2,1,4,2,1",0.184264
2,192,2264,256,438,"2,5,2,1,3,4,8,5,4,5,4,2,1,3,2,1",0.173531
3,181,2120,256,392,"2,3,4,1,1,2,5,3,3,5,8,2,1,3,2,1",0.202801
4,151,1892,256,346,"2,4,2,1,4,1,4,2,2,8,3,1,1,2,1,2",0.164347
5,200,2340,256,436,"2,3,1,2,4,2,8,3,2,6,5,2,4,2,3,1",0.195188
6,309,4480,512,682,"1,2,9,4,4,3,5,3,3,5,4,2,1,4,2,1",0.248552
7,230,2800,256,508,"1,2,7,2,4,8,3,4,3,1,5,2,1,4,3,1",0.190418
8,191,2208,256,418,"2,4,2,1,5,8,4,2,1,4,5,4,2,1,3,2",0.180438
9,170,2068,256,384,"2,5,2,1,3,2,5,2,1,8,4,1,2,3,1,2",0.174355
10,225,2636,256,492,"1,6,4,1,3,5,8,3,2,6,4,2,1,2,3,1",0.202343
11,289,4364,512,660,"3,5,4,1,1,4,9,3,2,5,3,2,1,3,2,1",0.235103
12,175,2044,256,372,"2,3,1,2,1,8,3,1,3,5,4,2,2,4,2,1",0.192002
13,185,2156,256,406,"2,4,3,1,5,3,5,3,2,4,8,2,1,3,2,1",0.176895
14,173,2140,256,384,"1,6,3,2,4,1,8,1,1,2,3,2,2,1,2,1",0.186433
15,194,2404,256,438,"2,1,3,2,1,2,6,3,2,6,8,1,1,3,1,2",0.180558
16,171,2076,256,390,"2,4,2,1,1,2,5,3,3,8,3,2,2,5,2,1",0.172174
17,284,4224,512,612,"2,4,3,1,1,2,9,2,4,3,2,1,1,4,3,2",0.218601
18,209,2464,256,474,"2,4,2,1,3,6,4,3,4,8,5,2,1,5,3,1",0.187991
19,200,2360,256,446,"1,5,3,2,6,3,2,4,4,8,4,2,1,2,3,1",0.196473
20,222,2744,256,490,"1,4,2,1,8,1,5,2,2,3,7,3,1,4,2,1",0.206317
21,195,2336,256,440,"4,1,6,1,1,8,4,3,5,2,3,2,2,4,2,1",0.194663
22,167,2016,256,376,"1,3,2,1,3,2,3,2,2,8,4,3,1,4,5,1",0.181747
23,325,4684,512,712,"2,6,3,2,3,5,9,3,2,4,5,2,1,3,2,1",0.242175
24,187,2176,256,408,"1,2,5,2,4,1,4,8,3,5,2,1,1,2,4,3",0.193786
25,200,2328,256,438,"2,4,1,4,4,6,4,3,2,8,3,2,1,4,2,1",0.200598
26,172,2056,256,390,"2,4,3,1,3,5,8,4,2,4,3,2,1,3,2,1",0.180193
27,197,2324,256,430,"2,4,3,2,8,5,2,1,1,6,3,2,2,1,2,4",0.196644
28,317,4576,512,692,"2,3,9,4,1,2,4,3,6,4,3,2,4,3,2,1",0.267873
29,199,2360,256,428,"2,3,2,1,1,2,1,5,8,6,5,1,1,3,1,2",0.192177
30,173,2052,256,380,"4,2,1,2,3,4,2,1,4,5,8,3,1,2,1,2",0.185832
31,174,2044,256,376,"4,2,1,3,3,1,8,2,2,4,5,3,1,3,2,1",0.179078
32,217,2508,256,476,"1,3,1,4,2,8,4,2,5,4,6,1,1,2,5,4",0.195595
33,171,2032,256,376,"2,3,2,1,1,5,3,2,3,4,8,4,1,3,2,1",0.186263
34,109,1016,128,248,"1,2,3,2,4,5,2,1,3,7,4,3,1,3,2,1",0.130379
35,190,2300,256,432,"2,1,8,3,4,6,5,2,2,4,3,1,1,3,1,2",0.182912
36,166,2012,256,376,"1,2,4,1,3,8,3,2,2,3,5,3,1,4,2,1",0.172480
37,192,2308,256,432,"4,3,2,1,1,5,8,6,3,2,3,2,1,4,2,1",0.185338
38,197,2252,256,420,"4,5,3,1,3,1,5,3,2,5,8,2,1,3,2,1",0.177241
39,179,2120,256,408,"1,4,1,4,4,8,4,3,3,5,3,1,1,2,4,2",0.184656
