Game Number,Number of Moves,Score,Largest Tile,Sum of Tiles,Losing Configuration,seconds
0,965,16224,1024,2112,"2,8,3,1,3,5,4,2,9,6,5,10,1,7,4,2",2.519848
1,933,15816,1024,2020,"1,5,2,1,2,3,8,7,3,1,9,4,10,2,4,1",2.549952
2,1724,34080,2048,3794,"2,1,11,1,3,4,9,2,1,10,5,7,2,1,2,1",3.629912
3,903,15656,1024,2000,"2,4,1,2,1,8,4,9,2,10,3,2,1,4,7,1",2.303639
4,1695,32632,2048,3690,"5,4,2,1,10,11,7,6,1,6,8,3,2,5,1,2",3.483733
5,1427,27268,2048,3116,"2,8,1,5,3,4,2,1,1,6,7,5,2,9,11,1",3.229073
6,1762,34564,2048,3898,"2,1,3,1,7,6,9,2,10,11,6,3,3,1,4,2",3.572303
7,938,16084,1024,2090,"1,5,2,1,2,10,9,3,3,6,7,8,5,3,2,1",2.474236
8,957,16144,1024,2104,"1,3,4,3,2,5,10,2,3,9,7,6,2,5,8,1",2.520929
9,966,16236,1024,2114,"1,5,2,1,3,8,9,7,4,10,6,4,3,5,3,1",2.460245
10,1751,34448,2048,3880,"1,10,2,1,2,11,5,4,5,9,6,1,2,1,7,2",3.518022
11,1410,27028,2048,3074,"3,2,5,1,1,8,9,5,2,4,7,4,1,3,11,2",3.268161
12,893,15604,1024,1988,"1,2,3,1,2,9,4,8,1,2,7,2,2,10,4,1",2.510860
13,937,15944,1024,2050,"2,1,3,1,10,2,9,2,2,8,7,5,5,1,5,2",2.607780
14,936,16032,1024,2082,"2,3,8,2,4,10,6,3,3,5,9,2,1,2,3,7",2.331981
15,1433,27316,2048,3134,"1,11,4,1,3,7,5,2,9,6,8,4,5,3,2,1",3.250956
16,1589,31428,2048,3474,"11,1,2,1,1,5,10,2,4,3,6,8,2,1,2,1",3.626113
17,920,15768,1024,2012,"1,2,3,1,2,3,9,3,4,10,8,5,1,7,2,1",2.434402
18,944,16128,1024,2102,"1,3,5,1,2,10,9,3,6,8,5,7,1,2,3,4",2.489957
19,2617,56660,4096,5704,"2,5,3,2,12,7,8,5,3,6,10,3,1,2,5,1",4.964403
20,695,11936,1024,1542,"4,1,2,1,3,7,10,4,1,6,8,1,2,3,1,2",2.267641
21,1425,27332,2048,3152,"2,4,3,1,11,5,7,2,5,6,9,8,2,3,5,1",3.249618
22,960,16164,1024,2100,"9,2,4,1,3,8,10,3,4,6,5,4,1,2,7,3",2.524932
23,746,13292,1024,1646,"1,10,3,1,2,9,4,2,1,2,5,3,4,1,3,1",2.256590
24,959,16128,1024,2086,"3,10,3,9,5,6,2,3,3,8,4,2,2,7,3,1",2.633184
25,861,14724,1024,1918,"1,6,4,2,5,10,7,5,3,9,4,3,1,6,2,1",2.396930
26,1804,34748,2048,3930,"1,4,3,1,3,10,11,2,9,6,7,6,1,3,5,3",3.706382
27,780,13600,1024,1690,"3,2,1,2,1,4,10,1,2,5,9,3,1,6,2,1",2.307461
28,922,15816,1024,2036,"1,2,3,1,3,4,7,4,1,8,10,9,4,5,3,1",2.543284
29,719,12088,1024,1568,"3,1,2,1,10,6,5,3,3,8,7,2,1,3,4,1",2.262202
30,1406,27100,2048,3104,"1,3,1,3,2,6,4,7,3,11,5,3,2,8,9,2",3.379178
31,963,16216,1024,2106,"1,3,9,2,2,7,8,5,4,5,6,4,1,10,2,1",2.478227
32,1765,34568,2048,3886,"2,1,9,1,1,4,10,2,2,11,7,6,1,6,3,1",3.674799
33,731,12100,1024,1572,"1,2,7,1,8,6,5,2,1,3,10,4,2,1,4,3",2.214028
34,1341,26352,2048,2976,"3,5,3,1,1,6,9,11,3,4,8,3,2,1,2,1",3.275636
35,658,11360,1024,1460,"1,3,2,1,2,8,4,10,4,6,5,3,1,4,2,1",2.006074
36,955,16100,1024,2068,"1,4,9,1,2,3,7,2,1,8,5,6,2,10,3,1",2.598531
37,1843,35604,2048,4034,"2,3,4,3,1,8,9,5,10,3,6,11,3,5,3,2",3.733453
38,1423,27260,2048,3128,"3,2,6,3,7,5,8,2,3,9,11,1,1,2,5,4",3.192155
39,1346,26372,2048,2980,"2,5,3,2,3,11,8,1,2,3,9,6,1,2,4,3",3.219000
40,1313,25540,2048,2888,"2,4,5,1,3,11,7,2,4,9,6,3,1,2,3,5",3.225998
41,955,16148,1024,2108,"2,4,6,1,3,7,3,2,10,8,9,5,1,3,5,3",2.543119
42,956,16168,1024,2094,"2,9,3,1,1,2,6,5,4,8,5,7,1,2,10,2",2.412427
43,718,12092,1024,1570,"2,3,2,1,1,6,4,5,2,4,10,2,8,2,7,1",2.199223
44,952,16104,1024,2076,"3,7,1,2,1,10,9,1,4,6,5,4,2,8,2,1",2.591235
45,1147,22764,2048,2506,"1,4,1,2,3,11,4,1,2,7,3,2,1,2,8,1",2.932355
46,965,16220,1024,2116,"1,2,10,4,3,5,7,5,9,8,6,3,3,4,1,2",2.546206
47,910,15688,1024,1996,"2,4,1,2,9,7,10,1,1,4,2,4,2,1,8,2",2.428037
48,917,15752,1024,2008,"1,2,5,1,2,9,8,3,1,10,7,4,2,1,2,3",2.587072
49,998,16540,1024,2148,"2,8,10,2,4,7,4,1,2,9,5,3,1,3,7,2",2.570048
50,958,16180,1024,2096,"1,9,5,1,6,10,7,3,3,8,4,2,1,5,2,1",2.576679
51,948,16096,1024,2088,"1,2,3,1,8,10,5,2,3,9,6,3,7,4,2,4",2.552773
52,1776,34552,2048,3884,"1,3,11,1,2,7,5,2,6,5,9,10,1,2,4,1",3.821183
53,1425,27288,2048,3138,"2,1,4,1,3,7,6,11,5,9,8,5,3,4,3,1",3.028738
54,1436,27268,2048,3128,"5,7,2,3,3,8,6,9,2,3,11,4,1,5,2,1",3.236323
55,1831,35532,2048,4016,"2,3,1,2,10,6,5,3,3,8,9,1,5,11,3,2",3.841275
56,689,11748,1024,1490,"1,2,1,3,2,3,5,1,10,1,8,3,1,2,7,2",2.194077
57,1617,31880,2048,3552,"2,4,2,1,1,2,4,3,2,10,7,8,11,1,5,1",3.683054
58,964,16332,1024,2132,"2,3,7,2,1,5,10,3,2,9,8,6,6,1,4,2",2.477349
59,945,16020,1024,2080,"2,5,3,1,1,4,7,9,8,5,10,5,2,3,4,2",2.418808
60,971,16112,1024,2088,"1,6,4,2,2,9,10,5,3,4,7,3,8,3,2,1",2.558243
61,1000,16620,1024,2170,"1,6,2,1,2,8,10,4,6,9,7,6,3,4,2,1",2.656298
62,916,15636,1024,2018,"1,6,4,1,2,9,8,2,5,10,6,3,1,2,3,4",2.483986
63,949,16100,1024,2090,"1,9,3,2,2,7,10,4,4,5,8,3,6,2,3,2",2.603755
64,1289,25352,2048,2830,"3,1,2,1,6,11,3,7,1,5,9,1,2,1,3,2",3.223360
65,1661,32280,2048,3636,"1,4,11,2,2,3,6,8,4,10,7,5,3,4,3,1",3.650736
66,807,14224,1024,1814,"1,10,1,2,2,5,3,1,9,7,6,4,1,3,2,1",2.305837
67,1413,27236,2048,3136,"2,4,2,1,3,5,7,8,6,11,9,4,2,3,5,1",3.127311
68,961,16212,1024,2110,"4,3,2,1,2,5,7,3,4,8,6,9,1,10,1,5",2.553532
69,977,16256,1024,2100,"2,4,3,1,1,10,7,5,2,5,6,2,3,9,2,8",2.958697
70,1857,35684,2048,4040,"2,3,2,1,10,5,4,5,4,6,9,2,8,11,4,1",3.950142
71,1795,35096,2048,3924,"2,3,4,1,1,10,8,3,2,11,4,9,3,2,3,2",3.757865
72,1835,35492,2048,3994,"1,5,3,2,11,6,10,1,3,8,3,9,2,4,2,1",3.952821
73,1408,27188,2048,3130,"3,5,11,1,4,6,4,9,2,8,7,2,1,5,2,1",3.108621
74,1413,27192,2048,3110,"1,5,3,2,2,9,6,7,3,1,11,5,2,8,1,2",3.297412
75,1599,31540,2048,3510,"1,3,2,1,8,10,5,4,2,5,6,2,3,2,11,1",3.573871
76,1440,27456,2048,3160,"1,6,3,2,2,11,7,6,3,9,8,3,4,1,5,2",3.299027
77,1177,23144,2048,2592,"1,4,2,4,2,1,7,11,1,3,6,2,2,8,5,1",2.923068
78,945,16060,1024,2068,"2,1,4,1,5,3,8,6,3,9,7,2,1,2,10,1",2.359443
79,952,16124,1024,2092,"3,10,4,1,2,9,8,2,4,6,5,7,2,4,2,1",2.421349
80,473,7012,512,1056,"1,2,5,1,4,7,3,2,8,6,9,1,2,4,1,2",1.613157
81,1425,27460,2048,3182,"2,3,6,1,1,6,9,5,8,3,7,11,2,1,5,4",3.462941
82,957,16180,1024,2102,"1,3,5,2,7,10,6,9,3,8,5,3,1,4,2,1",2.589710
83,906,15500,1024,1982,"1,3,1,2,2,9,2,3,4,10,8,1,6,3,6,2",2.417714
84,1662,32044,2048,3606,"2,3,4,1,5,10,5,2,3,7,8,3,2,4,11,4",3.774101
85,1410,27144,2048,3104,"3,9,3,1,2,7,8,5,4,3,6,2,2,11,3,1",3.388427
86,933,15940,1024,2036,"2,7,2,1,1,9,8,2,2,4,6,10,3,1,2,1",2.468422
87,945,16144,1024,2104,"2,1,6,1,1,3,5,10,5,8,9,4,1,4,7,2",2.325379
88,836,14408,1024,1844,"2,1,5,1,1,3,6,3,4,10,7,9,1,2,5,2",2.373072
89,846,14460,1024,1858,"1,3,4,2,10,9,5,3,6,5,7,2,2,1,4,1",2.315898
90,899,15488,1024,1976,"2,6,2,1,1,3,6,2,9,1,10,4,3,8,2,1",2.404335
91,923,15612,1024,2018,"1,10,4,3,4,8,5,1,5,6,9,3,3,5,1,2",2.524226
92,1748,34140,2048,3842,"1,3,10,2,2,11,5,3,4,6,9,6,2,4,2,5",3.763358
93,1801,35144,2048,3932,"1,2,1,2,3,8,11,1,5,9,10,3,4,2,3,1",3.941498
94,930,16004,1024,2076,"2,4,3,1,3,8,5,2,1,10,7,9,2,6,3,2",2.526840
95,1407,27260,2048,3152,"1,5,4,3,2,7,11,5,3,9,8,6,1,2,5,2",3.282470
96,1430,27320,2048,3132,"1,2,1,7,5,8,5,2,9,6,3,1,1,11,5,2",3.459275
97,1422,27320,2048,3136,"2,3,9,1,3,6,8,2,11,3,4,6,1,2,7,3",3.294995
98,1410,27228,2048,3140,"1,9,5,2,2,8,7,3,6,4,11,4,3,5,3,1",3.336669
99,1424,27248,2048,3130,"2,8,2,1,3,5,6,4,2,11,5,9,1,7,4,1",3.257613
