Game Number,Number of Moves,Score,Largest Tile,Sum of Tiles,Number of Merges,Losing Configuration,Seconds
87,2672,57364,4096,5818,2645,"1,3,2,1,3,4,5,12,4,7,6,1,7,8,10,5",0.003515
88,11277,293620,16384,24826,11164,"2,10,2,3,12,14,3,1,11,10,4,2,2,3,7,6",0.014243
89,10250,270324,16384,22522,10147,"2,3,4,9,4,12,6,10,2,14,8,1,1,7,1,2",0.012691
90,12698,337824,16384,27990,12571,"1,2,3,1,11,13,10,2,1,4,5,14,2,8,2,3",0.015786
91,5600,133184,8192,12358,5544,"1,11,10,2,13,8,7,9,6,4,5,6,3,1,2,1",0.006656
92,7409,176968,8192,16364,7334,"3,7,10,2,2,5,9,11,1,4,8,12,3,5,13,1",0.008757
93,10204,270120,16384,22508,10101,"2,14,9,1,8,10,7,12,1,3,4,6,2,1,2,1",0.012515
94,6755,164092,8192,14838,6687,"1,12,2,1,4,5,4,2,1,4,7,3,4,8,11,13",0.008071
95,12881,340588,16384,28316,12752,"2,1,13,2,1,11,14,10,5,9,5,1,1,6,3,2",0.015739
96,10942,286392,16384,24056,10832,"1,2,3,12,2,3,6,11,14,4,7,10,2,3,8,1",0.013244
97,11155,290236,16384,24542,11043,"3,9,14,1,5,3,8,10,2,12,11,1,1,5,7,2",0.013768
98,7466,177316,8192,16386,7391,"1,2,1,2,2,4,5,1,9,8,7,6,10,11,12,13",0.008888
99,9242,245200,16384,20324,9149,"2,1,2,1,1,10,9,5,2,8,11,3,14,3,5,1",0.011051
100,7376,176384,8192,16264,7302,"3,2,5,1,4,5,8,5,2,9,12,13,1,10,11,2",0.008818
