Game Number,Number of Moves,Score,Largest Tile,Sum of Tiles,Losing Configuration,seconds
0,1654,32208,2048,3606,"10,2,3,1,5,7,6,8,2,11,4,2,1,3,2,1",4.314410
1,975,16312,1024,2124,"2,5,2,1,3,10,6,5,2,5,9,7,1,8,4,2",2.870862
2,1885,36320,2048,4152,"1,5,11,2,7,8,9,3,6,5,10,1,1,2,1,5",4.428922
3,973,16344,1024,2130,"1,3,4,1,4,6,7,3,3,10,6,8,1,2,9,4",2.871477
4,1646,32448,2048,3652,"2,4,7,1,1,7,8,3,2,4,11,1,3,1,2,10",4.154586
5,1905,36392,2048,4164,"2,5,9,4,1,11,10,8,4,7,5,6,2,3,4,1",4.500144
6,1739,34316,2048,3866,"2,4,3,2,3,11,6,9,4,10,4,2,2,7,3,1",4.151217
7,1735,34280,2048,3864,"10,4,1,5,3,5,9,11,1,7,5,2,2,1,4,1",4.311669
8,942,16072,1024,2086,"1,2,4,2,3,10,6,3,8,7,9,4,1,5,3,1",2.733488
9,1818,35428,2048,3992,"8,1,2,1,3,10,3,4,2,9,6,11,1,5,3,1",4.526276
10,1818,35496,2048,4024,"2,3,2,5,1,9,11,3,10,4,8,6,2,5,3,1",4.480440
11,1782,34728,2048,3934,"2,11,1,3,4,6,4,9,6,10,7,2,1,3,5,1",4.280705
12,986,16336,1024,2130,"3,9,3,2,4,6,10,4,5,8,7,5,2,1,4,3",2.868791
13,1838,35764,2048,4072,"1,9,1,2,2,6,5,1,8,11,10,3,1,5,6,4",4.469665
14,885,15436,1024,1996,"5,2,1,6,3,9,5,2,4,10,8,1,1,5,1,2",2.748857
15,1464,28472,2048,3188,"3,1,4,1,2,4,9,2,1,9,11,3,2,4,5,1",3.902998
16,1413,27172,2048,3110,"1,9,3,2,3,6,5,4,4,7,11,2,1,8,3,1",3.922584
17,1802,35016,2048,3976,"1,2,4,1,7,11,5,3,4,2,10,7,5,9,4,2",4.319529
18,957,16180,1024,2106,"1,3,8,2,2,4,10,5,6,9,7,3,2,3,5,2",2.878530
19,952,16128,1024,2096,"3,7,2,3,6,10,4,2,4,9,5,1,1,8,4,2",2.886044
20,946,16080,1024,2076,"1,8,3,1,6,10,5,7,2,4,9,4,1,2,1,2",2.820772
21,1483,28136,2048,3276,"2,11,5,2,6,7,8,7,2,9,6,4,1,3,2,1",3.856551
22,948,16100,1024,2092,"1,3,4,2,9,8,5,3,3,7,10,6,2,4,3,1",2.840036
23,1828,35596,2048,4044,"2,1,5,2,10,9,6,5,1,5,8,11,2,3,4,2",4.555982
24,971,16248,1024,2108,"2,4,6,1,7,10,8,2,4,9,3,5,2,5,1,2",2.921242
25,961,16192,1024,2098,"1,3,8,2,3,5,10,7,1,6,5,4,2,9,1,2",2.875880
26,3038,67420,4096,6682,"3,4,3,4,1,12,11,3,2,6,8,7,1,3,4,1",6.330565
27,1806,35328,2048,3974,"3,11,6,1,2,8,10,2,1,4,9,4,2,1,2,3",4.454733
28,1625,31860,2048,3584,"1,6,2,4,3,11,8,3,10,5,6,5,2,4,2,1",4.260086
29,1408,27080,2048,3078,"3,2,1,2,1,3,6,8,9,11,4,7,2,1,2,4",3.855998
30,959,16164,1024,2106,"6,3,7,3,4,10,8,4,2,9,5,3,4,3,2,1",2.887604
31,2120,47400,4096,4644,"2,3,1,4,1,12,8,3,4,5,7,1,2,1,2,6",5.158506
32,1874,36152,2048,4112,"2,3,9,2,1,7,11,3,10,8,5,1,3,6,3,2",4.627193
33,1656,32308,2048,3654,"4,10,5,3,3,6,7,11,2,8,5,4,1,2,3,2",4.149568
34,1847,36008,2048,4098,"1,7,2,1,8,10,9,4,2,6,4,2,3,11,3,1",4.262981
35,963,16168,1024,2090,"1,4,2,1,4,6,8,4,3,7,5,9,2,10,2,1",2.915043
36,1871,36048,2048,4102,"2,3,5,4,3,11,10,3,7,8,5,9,2,4,2,1",4.487739
37,2682,58580,4096,5906,"1,2,1,9,3,5,3,2,1,7,10,12,3,6,3,2",5.945717
38,1887,36112,2048,4102,"2,4,3,2,3,11,10,4,5,9,7,2,3,8,5,1",4.541708
39,1429,27280,2048,3122,"2,1,2,1,5,4,3,5,7,11,6,9,1,8,3,2",3.901071
40,1441,27408,2048,3138,"1,4,2,1,3,8,11,2,7,6,9,4,2,3,6,1",4.041108
41,1803,35308,2048,3992,"2,3,5,2,5,11,10,5,3,9,8,3,1,4,2,1",4.257379
42,2795,59940,4096,6070,"1,6,1,3,4,12,2,9,6,3,10,2,2,8,2,1",6.090236
43,1408,27148,2048,3104,"1,2,1,3,3,9,7,11,1,6,8,1,4,2,5,4",3.973335
44,1882,36236,2048,4140,"2,4,7,1,9,6,11,2,10,8,5,4,3,4,3,1",4.515707
45,953,16164,1024,2104,"1,3,7,2,8,9,5,4,10,5,6,3,2,3,2,1",2.859565
46,1407,27148,2048,3110,"3,8,3,4,5,9,11,2,3,7,6,1,1,4,1,2",3.886245
47,1903,36356,2048,4152,"4,3,2,1,8,5,7,3,11,6,10,9,1,3,5,3",4.662244
48,1812,35408,2048,4000,"3,5,2,3,8,11,9,10,2,4,6,2,3,1,3,1",4.472800
49,1878,36180,2048,4114,"3,11,9,1,1,7,6,2,10,5,8,4,3,2,1,2",4.439519
50,1776,34592,2048,3912,"2,4,2,1,3,10,9,5,5,7,6,11,2,4,1,4",4.501960
51,1881,36308,2048,4160,"3,10,2,1,5,7,5,3,11,9,6,2,2,8,5,1",4.161824
52,983,16480,1024,2166,"2,4,2,1,6,5,8,6,3,9,7,3,2,10,3,5",2.904955
53,1807,35336,2048,3978,"1,11,3,1,3,6,8,2,10,4,3,9,4,2,1,2",4.420203
54,1647,32344,2048,3658,"2,8,3,1,1,4,6,4,2,7,10,1,6,4,11,2",4.142707
55,1773,34452,2048,3882,"2,1,5,2,3,7,4,11,9,5,10,5,4,2,4,2",4.470878
56,1426,27292,2048,3138,"3,8,1,2,7,4,5,3,3,11,9,6,1,4,5,1",3.736095
57,984,16352,1024,2126,"2,1,5,10,3,6,7,5,5,3,9,4,1,2,8,1",2.981406
58,1763,34564,2048,3928,"1,4,6,3,2,11,5,4,10,4,7,9,1,3,5,4",4.465753
59,1396,27116,2048,3116,"1,4,5,2,11,8,7,9,4,6,4,2,2,3,2,1",3.668603
60,945,16100,1024,2096,"2,3,6,2,1,8,4,3,2,5,10,7,1,4,9,4",2.941695
61,1880,36276,2048,4156,"1,2,7,2,4,10,8,1,5,9,6,3,3,11,4,5",4.386157
62,1769,34460,2048,3858,"1,2,6,1,2,4,10,5,1,7,11,3,3,1,9,1",4.434321
63,966,16300,1024,2124,"1,3,1,2,2,8,6,3,7,9,10,4,3,4,6,3",2.929386
64,1677,32552,2048,3692,"2,10,3,2,3,8,6,5,6,5,11,3,1,3,7,1",4.240647
65,2836,60688,4096,6224,"1,7,8,2,4,12,5,3,6,10,9,6,2,3,2,1",6.102068
66,1765,34656,2048,3932,"1,2,6,2,2,4,11,3,9,5,7,10,1,4,6,2",4.408914
67,2790,60312,4096,6166,"2,8,4,1,7,12,6,3,5,9,10,1,2,3,1,3",6.191450
68,930,15952,1024,2054,"1,2,4,2,3,6,10,1,1,8,9,4,2,3,7,2",2.945701
69,939,15996,1024,2062,"3,1,3,1,4,6,9,2,3,4,7,8,10,3,2,1",2.682477
70,963,16200,1024,2098,"6,1,2,1,1,7,5,9,2,5,10,3,3,8,4,2",2.971618
71,1833,35684,2048,4056,"3,9,3,1,2,5,6,11,1,10,8,2,2,4,6,3",4.408731
72,972,16260,1024,2118,"3,5,3,2,4,6,9,4,8,10,7,2,2,5,3,1",3.006838
