Game Number,Number of Moves,Score,Largest Tile,Sum of Tiles,Losing Configuration,seconds
0,1828,35656,2048,4046,"2,5,11,2,6,3,6,1,2,8,9,10,1,2,4,1",0.792993
1,1766,34520,2048,3896,"2,3,5,9,1,7,11,2,4,6,2,3,3,1,10,5",0.779153
2,1421,27188,2048,3104,"2,3,2,1,11,7,9,3,3,5,6,8,2,3,4,1",0.741910
3,1413,27252,2048,3144,"2,4,5,2,4,6,8,1,11,9,7,3,1,2,5,4",0.717490
4,1832,35500,2048,4002,"1,11,9,2,2,10,4,1,5,6,8,3,3,4,2,1",0.769050
5,963,16224,1024,2118,"2,9,4,2,3,7,6,1,8,4,10,2,3,5,3,5",0.551097
6,938,15832,1024,2056,"1,6,1,2,2,3,10,5,5,8,9,3,3,6,5,2",0.539997
7,1678,32528,2048,3690,"2,3,11,4,5,6,10,3,1,7,8,6,2,3,4,3",0.827543
8,901,15532,1024,2024,"1,2,4,3,3,10,5,8,5,9,6,3,3,5,4,1",0.503566
9,986,16364,1024,2132,"2,3,5,3,9,8,6,10,5,7,5,3,1,2,4,1",0.522235
10,1687,33572,2048,3726,"2,11,2,1,3,4,3,2,9,10,6,1,1,4,3,2",0.819744
11,918,15756,1024,2010,"3,5,3,2,2,7,9,4,1,8,2,1,10,2,1,2",0.558837
12,917,15528,1024,1994,"1,2,6,1,3,4,8,3,10,5,9,5,3,4,3,1",0.528013
13,945,16124,1024,2092,"2,1,2,1,6,5,9,5,10,8,7,1,1,3,4,2",0.535149
14,498,7316,512,1124,"2,6,4,2,4,5,8,9,3,6,2,3,1,7,1,2",0.352628
15,987,16448,1024,2146,"1,2,6,1,3,7,10,4,5,9,8,6,3,4,3,1",0.518909
16,1633,32064,2048,3586,"4,3,2,1,3,6,10,7,1,11,8,3,2,1,3,2",0.788856
17,949,16256,1024,2120,"2,1,2,3,6,9,5,1,10,8,7,3,1,3,6,1",0.497015
18,962,16148,1024,2084,"3,7,4,2,2,4,10,1,1,3,6,9,2,5,2,8",0.542376
19,926,15940,1024,2060,"2,3,4,2,1,10,9,8,2,4,6,2,3,7,3,1",0.521652
20,950,16104,1024,2088,"3,4,1,10,2,7,6,3,3,5,9,4,2,8,2,1",0.567271
21,219,2720,256,486,"3,1,8,3,1,2,3,1,7,4,5,2,1,3,2,1",0.208343
22,1573,30864,2048,3444,"2,4,2,1,5,10,6,3,6,3,11,7,2,1,2,5",0.765820
23,1413,27156,2048,3104,"2,8,4,1,1,3,6,3,2,11,9,7,3,5,3,2",0.729736
24,937,16004,1024,2070,"3,1,9,2,4,7,3,1,2,4,8,3,10,6,4,1",0.513364
25,1763,34484,2048,3876,"6,2,1,2,1,5,11,1,2,9,7,3,5,3,10,1",0.777955
26,838,14352,1024,1822,"6,3,1,3,3,10,2,1,2,5,4,2,7,2,9,1",0.486036
27,1273,25288,2048,2830,"1,5,11,3,3,6,7,1,1,2,3,9,2,1,2,1",0.638306
28,1194,23292,2048,2636,"2,3,4,3,1,7,5,4,2,11,6,8,3,5,3,1",0.645278
29,1751,34164,2048,3846,"3,4,3,1,5,6,11,6,3,9,10,3,1,5,4,1",0.794014
30,958,16148,1024,2090,"2,7,2,1,4,9,4,3,10,5,6,1,4,1,8,2",0.535382
31,938,16056,1024,2088,"2,9,3,1,3,5,10,4,7,6,8,2,2,4,3,1",0.505133
32,1414,27184,2048,3122,"7,3,2,1,3,4,9,3,5,6,8,4,3,11,3,2",0.688842
33,949,16140,1024,2092,"2,3,10,1,7,4,9,5,2,5,8,1,1,6,1,2",0.544783
34,251,3084,256,554,"1,2,3,2,5,1,8,7,1,5,3,1,6,2,1,2",0.220863
35,963,16352,1024,2146,"1,2,10,4,3,8,6,5,6,7,9,3,1,3,1,4",0.525343
36,1767,34476,2048,3880,"4,10,2,3,9,5,3,6,2,4,7,11,1,3,2,1",0.802409
37,1776,34584,2048,3912,"4,3,7,3,5,6,4,10,3,11,9,3,1,5,2,1",0.800677
38,900,15636,1024,1992,"2,1,2,1,8,4,3,10,1,7,9,2,3,4,2,1",0.512828
39,961,16120,1024,2102,"2,4,5,4,5,9,8,2,4,10,7,4,2,5,3,1",0.528519
40,884,15272,1024,1942,"2,1,2,3,10,4,3,1,2,8,4,2,1,4,6,9",0.518628
41,1748,34268,2048,3844,"1,2,4,2,3,9,11,5,5,10,4,2,3,1,2,7",0.755704
42,1418,27140,2048,3092,"1,8,4,2,2,11,2,9,4,6,7,3,3,1,4,2",0.704680
43,1647,32176,2048,3602,"1,6,2,4,2,5,10,1,11,2,8,7,2,3,2,1",0.747147
44,948,16068,1024,2066,"2,4,2,5,1,9,8,6,2,3,7,1,1,2,10,2",0.500680
45,1348,26368,2048,2962,"1,9,2,1,6,3,4,2,5,2,11,1,1,8,1,2",0.698179
46,749,13480,1024,1696,"2,5,2,1,3,4,10,3,1,9,6,1,2,1,3,2",0.472172
47,1737,34308,2048,3844,"2,1,2,1,1,7,10,2,2,5,6,11,9,1,2,3",0.788449
48,1623,32036,2048,3592,"2,10,2,1,3,4,7,3,11,2,8,2,2,4,6,1",0.766648
49,862,14556,1024,1876,"3,4,3,1,9,5,6,2,3,4,10,7,2,5,4,1",0.521690
50,850,14492,1024,1870,"2,4,3,1,3,5,7,2,4,9,5,10,2,3,6,3",0.484968
51,1301,25492,2048,2878,"1,5,3,1,3,7,6,3,2,5,11,9,1,3,4,2",0.669531
52,1436,27560,2048,3156,"2,1,2,1,3,7,4,9,1,8,5,7,2,3,11,1",0.680401
53,965,16212,1024,2104,"2,1,9,5,3,5,7,3,10,6,8,1,2,3,4,2",0.570252
54,1413,27192,2048,3122,"1,4,3,1,3,11,5,4,9,6,7,3,4,8,2,1",0.694344
55,1351,26424,2048,2994,"3,2,1,2,4,5,4,1,8,9,11,4,1,6,3,2",0.713658
56,852,14464,1024,1858,"2,4,3,1,4,9,5,2,3,6,7,4,2,4,10,2",0.493956
57,1786,34688,2048,3936,"2,3,7,5,4,5,11,4,6,10,9,3,1,3,5,1",0.828317
58,960,16272,1024,2120,"2,7,4,3,6,9,6,2,3,8,4,1,10,3,1,2",0.552096
59,505,7220,512,1094,"1,3,9,2,4,8,3,4,1,7,5,2,5,3,6,1",0.350044
60,980,16336,1024,2126,"1,3,10,4,2,6,5,1,7,8,9,5,5,1,2,3",0.549414
61,1634,32212,2048,3642,"1,7,4,2,3,6,11,5,5,8,4,2,2,1,10,1",0.782202
62,2313,51104,4096,5112,"1,2,4,1,9,5,8,3,3,12,7,5,2,1,3,1",0.907880
63,1650,32216,2048,3620,"1,10,11,1,4,7,8,4,3,5,6,3,1,3,2,1",0.791966
64,941,16108,1024,2094,"2,1,2,1,5,7,3,6,9,5,10,4,1,2,8,2",0.516994
65,862,14784,1024,1894,"1,7,2,1,2,10,3,5,7,4,9,4,2,3,2,1",0.480346
66,443,6452,512,966,"2,4,1,2,6,8,5,4,3,5,9,3,1,2,1,2",0.350765
67,1775,34428,2048,3864,"1,3,5,3,2,4,9,5,10,5,7,2,3,2,11,1",0.804203
68,1416,27236,2048,3132,"2,4,3,1,3,5,7,5,9,11,8,3,2,3,6,1",0.712254
69,1417,27356,2048,3150,"2,9,2,1,6,4,7,6,1,8,11,3,2,5,2,1",0.648954
70,1331,25752,2048,2916,"2,9,2,1,3,7,6,4,5,6,11,2,2,4,3,1",0.694577
71,956,16192,1024,2110,"1,5,2,1,4,10,7,3,1,9,4,6,2,5,8,3",0.525779
72,1656,32356,2048,3670,"4,5,3,1,5,10,11,2,3,6,7,5,2,3,8,2",0.775686
73,1175,23148,2048,2608,"1,2,8,3,6,11,5,1,3,7,4,2,4,3,2,3",0.617812
74,728,12204,1024,1604,"3,8,2,1,5,10,6,5,2,4,7,4,1,2,3,2",0.472853
75,939,15912,1024,2042,"2,8,3,2,4,3,7,5,1,5,9,3,2,1,10,1",0.526146
76,1583,31308,2048,3528,"6,2,4,2,3,7,6,11,2,4,10,3,1,3,7,1",0.748274
77,1647,32216,2048,3626,"4,1,4,1,2,7,6,8,10,5,11,2,2,4,3,1",0.805276
78,841,14488,1024,1846,"1,2,3,1,10,7,2,9,1,6,1,2,3,1,6,4",0.520494
79,1631,32116,2048,3606,"1,2,6,2,4,8,11,3,3,7,5,1,2,1,2,10",0.783535
80,1635,32124,2048,3594,"2,1,5,1,1,8,2,11,4,10,7,1,1,2,6,2",0.768887
81,950,16172,1024,2114,"10,3,5,3,1,4,6,4,7,9,8,2,1,3,5,1",0.515607
