Game Number,Number of Moves,Score,Largest Tile,Sum of Tiles,Losing Configuration,seconds
0,777,12504,1024,1664,"1,3,5,4,4,7,10,5,5,6,8,2,3,5,3,1",0.898608
1,975,16312,1024,2122,"1,9,3,1,2,8,5,2,5,6,10,1,4,5,7,2",1.029166
2,935,16072,1024,2090,"1,5,3,2,3,10,8,9,7,5,6,2,1,2,3,1",0.924553
3,1438,27416,2048,3168,"3,6,2,1,4,7,11,5,2,8,6,3,1,4,9,2",1.182751
4,853,14480,1024,1850,"3,5,2,1,7,10,6,3,3,5,4,9,2,1,2,1",0.992521
5,945,16144,1024,2106,"2,5,2,1,1,4,10,7,3,9,8,2,1,5,6,4",0.984382
6,952,16156,1024,2098,"2,5,6,1,4,8,10,2,2,3,7,9,1,5,3,1",0.944055
7,968,16260,1024,2116,"1,5,3,2,2,7,9,5,3,10,8,2,5,6,2,1",1.003431
8,952,16128,1024,2096,"4,3,2,1,2,4,9,6,1,7,10,3,2,8,5,4",0.963753
9,816,14284,1024,1834,"2,1,2,5,3,4,9,1,1,10,6,4,2,3,7,3",0.893204
10,958,16156,1024,2100,"3,4,3,1,9,7,6,4,5,8,10,2,2,4,3,1",1.014228
11,1658,32248,2048,3622,"1,8,2,1,3,5,10,3,4,11,6,7,2,3,4,1",1.411864
12,928,15868,1024,2042,"1,3,2,1,3,10,7,3,5,9,5,8,2,4,2,1",0.915354
13,959,16384,1024,2128,"2,1,3,1,3,8,7,2,2,7,9,4,3,4,10,3",0.979604
14,1107,22572,2048,2490,"2,1,7,11,1,3,8,2,3,1,2,3,1,3,1,2",1.158684
15,782,13612,1024,1698,"1,2,4,5,2,6,10,3,1,3,9,2,2,1,2,3",0.930462
16,1436,27832,2048,3172,"1,3,4,1,2,9,5,8,3,8,11,2,2,1,4,1",1.275285
17,1374,26768,2048,3030,"1,8,2,1,3,4,9,2,11,3,4,7,2,1,2,4",1.247558
18,1547,30624,2048,3400,"5,2,1,2,1,5,10,1,11,6,7,2,1,2,4,5",1.404832
19,933,15972,1024,2066,"2,3,4,2,3,7,10,3,6,4,8,9,1,2,3,2",0.964868
20,963,16284,1024,2122,"1,2,3,1,9,6,10,2,1,8,7,5,2,3,6,3",0.985640
21,981,16340,1024,2132,"4,3,2,1,5,8,5,7,6,10,9,3,2,3,5,1",1.028821
22,953,16140,1024,2086,"5,9,2,1,1,7,5,8,2,6,3,2,3,10,2,1",0.973082
23,1759,34448,2048,3884,"2,3,1,2,7,10,4,6,4,11,9,2,2,5,4,1",1.435142
24,818,14184,1024,1792,"1,2,1,3,5,1,9,2,1,5,10,7,2,1,5,1",0.886257
25,939,16040,1024,2076,"2,1,2,3,3,4,8,5,9,6,10,2,2,3,7,1",0.965173
26,982,16268,1024,2110,"3,5,2,1,6,10,7,3,2,5,9,4,1,4,1,8",0.960151
27,1310,25456,2048,2844,"3,1,9,3,1,6,7,2,2,4,5,11,1,3,2,1",1.316849
28,841,14396,1024,1836,"1,7,2,1,4,6,10,4,2,4,5,1,3,2,1,9",0.973557
29,1752,34360,2048,3852,"4,1,11,1,1,2,9,2,7,10,6,4,2,4,3,1",1.439969
30,676,11732,1024,1510,"4,1,3,1,3,10,7,2,1,8,4,1,2,5,1,2",0.800012
31,1373,26812,2048,3046,"1,2,1,2,2,4,7,3,11,9,8,4,3,2,5,1",1.256157
32,929,15912,1024,2066,"1,3,5,1,4,7,8,4,3,9,4,10,2,5,3,1",0.904593
33,781,13856,1024,1726,"1,2,7,1,2,9,1,2,1,4,2,10,2,3,1,3",0.892960
34,1420,27092,2048,3092,"3,4,3,2,1,7,9,5,2,8,11,3,4,5,4,1",1.318874
35,915,15496,1024,1976,"1,5,2,1,3,10,3,8,4,9,5,6,3,1,2,1",0.929432
36,203,2584,256,458,"2,7,1,3,8,2,3,2,2,3,2,4,1,2,1,2",0.386912
37,731,12156,1024,1584,"5,1,8,3,3,4,10,7,2,6,4,3,1,2,3,2",0.889104
38,966,16344,1024,2136,"4,6,2,1,1,9,10,5,3,7,8,3,2,3,6,2",0.930372
39,942,15900,1024,2046,"1,4,1,2,2,7,3,5,5,9,8,1,2,10,4,2",0.980627
40,951,16216,1024,2104,"3,1,2,3,6,7,6,1,3,10,8,2,1,4,9,1",1.018452
41,932,16024,1024,2078,"5,6,1,2,2,10,8,4,1,7,9,2,2,4,3,1",0.956926
42,944,15932,1024,2042,"2,3,5,1,1,8,9,2,3,10,5,4,7,1,3,2",0.987863
43,1421,27196,2048,3102,"2,8,2,1,1,9,6,3,2,5,7,4,1,4,11,2",1.226693
44,609,10856,1024,1340,"2,1,2,1,3,2,1,10,1,4,2,1,2,8,1,2",0.768693
45,762,13404,1024,1664,"2,4,2,1,1,3,5,2,10,5,9,3,1,3,1,2",0.900985
46,1288,25412,2048,2856,"1,6,7,1,2,5,11,3,3,2,5,1,2,1,9,2",1.177591
47,1475,27940,2048,3240,"2,6,3,1,3,7,9,4,11,8,5,3,3,4,7,1",1.214105
48,1383,26868,2048,3054,"1,4,5,3,4,8,9,2,2,1,7,1,11,2,4,2",1.331681
49,998,16712,1024,2182,"3,1,2,1,5,8,5,7,3,7,9,3,1,10,5,2",1.100111
50,1624,31876,2048,3550,"2,3,8,3,7,5,4,1,2,10,11,2,1,2,3,1",1.599652
51,1414,27196,2048,3110,"2,6,3,1,3,7,11,2,5,8,5,9,1,2,1,2",1.371551
52,952,16188,1024,2112,"4,1,2,1,9,5,10,2,4,7,6,4,1,8,5,1",0.979968
