Game Number,Number of Moves,Score,Largest Tile,Sum of Tiles,Losing Configuration,seconds
0,1881,36212,2048,4130,"2,5,3,2,6,9,8,11,4,10,4,3,2,7,2,1",21.085097
1,2594,56488,4096,5678,"1,3,6,4,8,5,10,3,4,7,12,2,1,2,4,1",28.798267
2,950,16152,1024,2104,"2,3,1,3,7,6,5,10,2,5,8,4,1,3,9,2",13.577384
3,1440,27472,2048,3166,"1,2,3,1,8,4,9,7,1,6,11,6,2,4,5,3",18.487540
4,1653,32420,2048,3678,"1,5,4,2,3,6,10,1,7,11,8,4,3,6,2,1",19.647379
5,1784,34628,2048,3916,"3,4,2,1,4,5,7,10,3,9,6,4,1,11,5,2",20.976168
6,1617,31700,2048,3548,"1,4,1,5,2,3,11,1,5,8,5,3,10,1,6,4",19.414238
7,1870,36096,2048,4122,"9,5,3,4,3,7,11,5,5,8,10,3,2,3,2,1",21.508550
8,1824,35520,2048,4024,"2,5,2,3,11,4,3,9,2,8,6,5,1,3,10,1",20.993219
9,1643,32304,2048,3642,"2,7,2,1,11,6,4,2,2,4,10,1,1,6,2,8",19.941473
10,1835,35632,2048,4052,"5,3,2,1,4,9,11,10,5,8,6,1,3,5,3,2",21.951404
11,1620,32112,2048,3632,"2,1,4,1,3,11,7,3,5,8,10,4,2,6,4,2",19.754157
12,1881,36196,2048,4120,"1,5,3,2,2,7,10,3,6,8,9,11,2,1,4,3",22.226434
13,1674,32376,2048,3648,"2,3,6,3,5,11,10,4,4,8,7,2,1,5,2,1",20.510748
14,1653,32244,2048,3634,"3,2,4,2,5,10,7,11,2,4,6,4,1,3,8,2",20.524529
15,1295,25408,2048,2848,"1,2,9,1,2,11,4,6,7,4,5,1,2,1,2,3",17.718093
16,946,16100,1024,2090,"1,8,1,3,5,7,4,2,4,10,9,1,2,4,6,2",13.562965
17,935,16092,1024,2102,"3,4,7,3,6,8,10,1,2,5,9,5,1,2,1,3",13.594726
18,1897,36376,2048,4164,"1,5,9,2,3,11,7,5,5,10,6,3,3,8,2,1",21.677837
19,975,16520,1024,2148,"2,9,4,2,4,5,7,10,1,3,8,3,2,7,1,2",13.211299
20,1612,31616,2048,3526,"2,3,5,1,4,8,11,3,3,6,5,10,1,2,4,1",19.994400
21,1808,35464,2048,4024,"1,2,4,1,2,5,6,2,11,9,10,5,2,4,8,2",20.864584
22,1826,35180,2048,3986,"3,7,11,1,4,6,9,2,3,10,7,1,1,4,3,4",21.791556
23,1774,34584,2048,3914,"1,4,7,2,2,10,9,5,3,5,6,4,2,4,11,2",20.884726
24,1676,32448,2048,3672,"2,5,3,1,4,8,11,7,5,10,4,5,2,6,2,1",20.562236
25,1643,32184,2048,3620,"4,2,1,2,10,7,5,3,2,6,8,11,1,4,3,2",20.845269
