Game Number,Number of Moves,Score,Largest Tile,Sum of Tiles,Number of Merges,Losing Configuration,Seconds
84,207,2092,256,382,204,"1,2,4,1,2,3,8,1,1,5,2,5,2,3,1,2",0
85,141,944,64,250,139,"1,4,1,2,1,5,6,4,1,3,4,3,3,6,2,1",0
86,88,512,64,164,87,"1,4,2,1,2,3,1,3,3,6,2,4,1,2,4,2",0
87,114,780,64,226,112,"1,5,1,2,4,2,4,1,2,6,3,2,1,5,1,5",0
88,187,1600,128,360,185,"1,6,4,1,3,7,2,5,2,4,6,2,1,2,3,1",0
89,86,504,64,164,85,"1,2,3,1,2,3,2,4,1,4,6,2,2,3,4,1",0
90,126,1004,128,236,124,"1,2,1,4,3,5,2,1,4,7,1,2,1,2,3,1",0
91,67,496,64,144,66,"1,0,0,0,2,3,0,0,5,6,2,0,1,2,4,1",0
92,113,696,64,208,111,"2,6,2,1,3,5,3,4,5,3,1,2,1,2,4,1",0
93,85,536,64,170,84,"1,2,3,1,2,3,6,2,1,4,5,3,3,1,2,1",0
94,107,664,64,199,105,"0,1,2,3,1,5,3,5,4,6,1,3,3,1,3,1",0
95,116,952,128,230,114,"1,5,1,2,2,3,2,3,1,2,3,1,7,1,2,4",0
96,85,528,64,163,84,"0,1,2,1,2,4,1,3,3,5,6,1,1,2,3,2",0
97,51,260,32,105,50,"2,3,4,2,0,4,5,3,0,0,1,2,0,0,2,1",0
98,97,600,64,188,96,"1,2,3,1,2,3,5,3,1,4,3,4,3,6,2,1",0
99,234,2356,256,446,231,"3,1,8,2,2,4,5,3,4,6,4,2,1,3,2,1",0
